20230724	19:44:43	80dab391-d00c-416e-9543-238fd2e3043b	GET	 undefined	 /css/style.css
20230724	19:44:44	4985bbcc-e039-4d26-8292-51ecf32000f9	GET	 undefined	 /
20230724	19:44:44	cee0ac22-0895-4f4b-92dd-2554ee800f15	GET	 undefined	 /css/style.css
20230724	19:44:45	4da45e18-ecd8-4054-b75a-0c5904835544	GET	 undefined	 /
20230724	19:44:45	921723a7-6c04-418e-9b10-9f62024cf42a	GET	 undefined	 /css/style.css
20230724	19:44:46	47380fad-94a1-4dc0-a536-316e11d01252	GET	 undefined	 /
20230724	19:44:46	227b23c4-b53a-4399-b1e6-d1e82d52283b	GET	 undefined	 /css/style.css
20230724	19:44:46	796aa7dc-fdb6-4561-ace9-d33bee717146	GET	 undefined	 /
20230724	19:44:46	12729a94-080b-4ddf-a625-8dac5cd251f6	GET	 undefined	 /css/style.css
20230724	19:44:46	7e73d8af-b927-460b-9462-94b338731aab	GET	 undefined	 /
20230724	19:44:46	48a54ec0-a4a7-4db1-bf77-46a49d7469d4	GET	 undefined	 /css/style.css
20230724	19:44:47	1d02bbf4-4e4e-4eb5-a607-7c9170e23405	GET	 undefined	 /
20230724	19:44:47	4621b9a5-2417-4dde-b9d3-4addccd8f5c9	GET	 undefined	 /css/style.css
20230724	19:44:47	bbd917ec-31d9-459d-93bb-4c9daadc3c96	GET	 undefined	 /
20230724	19:44:47	5802d53f-8836-4cff-9692-21b8f3e2ab41	GET	 undefined	 /css/style.css
20230724	19:44:47	46734a72-4219-46c0-9043-8ddf2d97bdda	GET	 undefined	 /
20230724	19:44:47	795f3676-15fb-4480-b6ca-adc0ef39019c	GET	 undefined	 /css/style.css
20230724	19:44:48	1e3e600d-dbf1-4876-acf3-e8d63a5277e8	GET	 undefined	 /
20230724	19:44:48	6e481bf3-8a5d-4ee6-8c84-ae68098c491c	GET	 undefined	 /css/style.css
20230724	19:44:48	37e2f61e-6b6b-481c-83d6-bc7d92c5e56e	GET	 undefined	 /
